,location,Radius,covered_nodes,Total_nodes_covered
0,"[702.9404419790735, 847.707424644122]",197.4610887755978,"['6786321690', '6786321691']",2
1,"[-461.8869152188625, 364.0298151445239]",180.94281565410532,"['4348259319', '4348259324', '5280437313', '5280437314', '5280438428']",5
2,"[72.90890025986135, -289.10578165817026]",186.4896345840176,"['667357318', '667357326']",2
3,"[795.9836811146033, 111.96834403738396]",197.65452740819708,"['667357401', '667357403', '667357405', '667357409', '667357415', '667357416']",6
4,"[399.46600254926653, 557.4925269207346]",192.47733506058685,"['667357421', '668612331', '1990860599', '1990860600', '4348259325', '4348259329', '4348259330', '4348259331', '4348259332', '4348265098', '4348265099', '4348265101', '6573701524']",13
5,"[524.9743877938611, 570.4878579995778]",193.2958762549191,"['667357421', '1990860599', '1990860600', '4348259325', '4348259327', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '7265460758']",13
6,"[231.15121708240446, -573.6618203544372]",192.21704144059836,"['667357309', '667357310', '667357317', '667357318', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '6627410440']",11
7,"[412.14630152152165, -813.6392874255168]",202.21723772048296,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6627410440', '6627410442']",12
8,"[260.4488805612509, 349.35384352648043]",190.1571878042167,"['667357367', '668620092', '668672704', '4348259329', '4348265101', '4642960968', '5366445082', '5366445083', '5366445085', '5584937649', '5584937650', '6573701524', '7147944044', '7147944046']",14
9,"[796.9581755984929, -355.12385893347533]",190.6714658059505,"['667357383', '667357387', '668685380', '5879215623', '5879215625', '5879215634']",6
10,"[426.8737545890372, -387.9570545598342]",192.26996184203617,"['667357317', '667357325', '667357368', '667357382', '667357385', '667357387', '668685375', '668699249', '5366445105', '5879215642', '5879215643', '6568909593', '6568909594', '8666700466']",14
11,"[770.7422730815042, 490.9993020475226]",198.74599414299098,"['667357419', '4348259333', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",7
12,"[689.6611480489865, -158.14171012053157]",194.89534390379427,"['667357392', '667357401', '668685380', '6576461331', '8675266535']",5
13,"[-685.9886912421733, 246.72737443608156]",180.05213592206815,"['2081722939', '4348259319', '4348259324', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",8
14,"[-347.7159086448717, 125.14565585313548]",179.6324695506771,"['245674992', '668672574', '5280437313', '5280437314', '6571330023']",5
15,"[-231.0192384701142, 541.2161727662543]",182.66460833290648,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",10
16,"[-110.77422564958103, 305.62364024892577]",184.1682023956186,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '5366445092', '5366445093', '6571330022']",11
17,"[-57.244115247446764, -14.777603547520094]",182.88320172144591,"['6583550560', '6583550562']",2
18,"[435.0371703890447, -30.157270798511334]",192.86884641276697,"['667357352', '667357407', '2055461156', '3215340463', '3215340464', '5077600694', '6568909595', '6785961623', '6785961658', '7147944038']",10
19,"[417.70908384199504, 924.159961135117]",193.89329645666385,"['6786321691', '9169143592']",2
20,"[611.7844907990991, -585.5111810939767]",193.94635636903536,"['668660560', '668685375', '5879215623', '5879215625', '5879215634', '5879215641']",6
21,"[-280.48814974160314, -831.4550649924714]",215.01030623683684,"['668699188', '668699193', '668699199', '668699242']",4
22,"[553.283221923334, 207.87652746702295]",195.21418929294444,"['667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '2055461156', '4348259327', '4348259328', '4369058864', '5882320075', '6785961623']",12
23,"[179.19672644681248, 162.10293141008188]",187.954152288456,"['668620092', '668672700', '4642960968', '5366445082', '5366445083', '6583550562', '7147944044', '7147944046']",8
24,"[163.59624807405987, 714.932154582382]",189.7018346065306,"['668612391', '4348265098', '4348265105', '6573701501', '6573701505']",5
25,"[10.090072269373042, 504.3832269855008]",186.25211239096876,"['667357348', '667357359', '667357361', '4348259298', '4348265105', '4348265107', '5366445091', '5366445092', '5366445093', '6573701501', '6573701505']",11
26,"[57.59887790297327, -871.6518795490418]",211.33477766568163,"['668699237', '668699242', '6435688923', '6435688924', '6627410440', '6627410442']",6
27,"[190.287311237954, -192.0631164358536]",186.29476551794858,"['667357326', '3215340463', '6568909593', '6568909594', '6568909595', '6573854574', '8666700466']",7
