,location,Radius,covered_nodes,Total_nodes_covered
0,"[-111.46873337228088, 1.1833658072737403]",286.6718904389328,"['245674992', '668672574', '668672700', '4348259295', '6583550560', '6583550562']",6
1,"[-515.509733807994, 332.7171445405111]",342.80702759064656,"['668478124', '668672574', '2081722939', '4348259294', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",19
2,"[320.2577980242204, 20.04099972732365]",267.65476848807475,"['667357352', '668620092', '668672700', '2055461156', '3215340463', '3215340464', '4369058864', '5077600694', '5366445083', '6568909595', '6583550562', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046']",16
3,"[232.18426851927785, -355.6589430225534]",249.6861332075425,"['667357317', '667357318', '667357325', '667357326', '667357368', '667357382', '668699249', '3215340463', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",18
4,"[295.06625570349735, -623.825720080879]",245.67054555480135,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357368', '668660548', '668660552', '668699249', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442']",21
5,"[761.581466971472, -48.27399976983877]",249.58182167491015,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357415', '6576461331', '6785961623', '8675266535']",9
6,"[612.2908132804423, -6.558674570669815]",256.1314345151389,"['667357352', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357415', '667357416', '2055461156', '3215340464', '4369058864', '6576461331', '6785961623', '6785961658', '8675266535']",16
7,"[378.8460343485931, -848.903260007035]",256.25171154456365,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6627410440', '6627410442']",12
8,"[35.48253385215729, 582.5396388284668]",328.2074424094102,"['667357348', '667357359', '667357361', '667357421', '668478124', '668612331', '668612391', '668672699', '668672704', '4348259297', '4348259298', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6571330021', '6573701501', '6573701505', '6573701524']",27
9,"[43.92912803537383, 386.9813740173219]",305.5587896836965,"['667357348', '667357359', '667357361', '667357367', '668478124', '668672699', '668672704', '4348259294', '4348259295', '4348259297', '4348259298', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",26
10,"[523.5803151733708, 788.4806397436187]",320.66050927493905,"['667357421', '668612331', '668612391', '1990860599', '1990860600', '4348259325', '4348259333', '4348265098', '4348265099', '6786321690', '6786321691', '9169143592']",12
11,"[649.5322521199012, -590.5136240351633]",218.20667951168795,"['668660560', '668685375', '5879215623', '5879215625', '5879215634', '5879215641']",6
12,"[647.7302919911405, -353.19234271608536]",238.35444424874208,"['667357382', '667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '5366445105', '5879215623', '5879215625', '5879215634', '8675266535']",12
13,"[623.2807271343072, 422.5335361523295]",303.3131785750611,"['667357367', '667357409', '667357412', '667357415', '667357416', '667357419', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '7265460758', '9169143586']",24
14,"[-147.40364533530487, -880.3721119876989]",319.1129336001245,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924']",7
