,location,Radius,covered_nodes,Total_nodes_covered
0,"[286.46832673843664, -535.3742097468581]",212.470914293313,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357368', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '8666700466']",14
1,"[271.7911936981002, 211.4060482823475]",239.81622829643297,"['667357352', '667357367', '668620092', '668672700', '668672704', '2055461156', '4369058864', '4642960968', '5077600694', '5366445082', '5366445083', '5366445085', '5584937649', '5584937650', '6785961658', '7147944038', '7147944044', '7147944046']",18
2,"[264.19744089836564, 533.9286478520659]",248.9842811080927,"['667357367', '667357421', '668612331', '668612391', '668672704', '1990860599', '1990860600', '4348259329', '4348259330', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",21
3,"[649.3561476346787, 832.9185054907896]",248.1383492146759,"['6786321690', '6786321691']",2
4,"[107.52240253091391, -294.03177158976894]",219.16764880647153,"['667357318', '667357326', '6568909593', '6568909609', '6573854574', '8666700466']",6
5,"[-116.69416660589815, 219.71190822905305]",248.3627621707668,"['245674992', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4642960968', '5366445091', '5366445092', '5366445093', '6571330022', '6571330023', '6583550560', '6583550562']",15
6,"[595.9430513069955, -478.0894560614237]",216.33978341686756,"['667357368', '667357382', '667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '5366445105', '5879215623', '5879215625', '5879215634']",12
7,"[-68.1110858918773, 28.710366467290516]",240.64132404347745,"['245674992', '668672574', '668672700', '6583550560', '6583550562']",5
8,"[306.01353002526525, 880.7078138359896]",250.3338385866447,"['668612391', '4348265098', '6786321691', '9169143592']",4
9,"[16.86554092707163, -789.677991787226]",204.00103094818166,"['668699237', '668699242', '6435688923', '6435688924']",4
10,"[-137.79549456572119, 251.75743067331825]",247.59652436584867,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4642960968', '5366445091', '5366445092', '5366445093', '6571330022', '6571330023']",14
11,"[349.26828489392886, -145.58189381985898]",227.31092775105049,"['667357325', '667357326', '667357352', '3215340463', '3215340464', '5077600694', '5366445105', '6568909593', '6568909594', '6568909595', '6573854574', '6785961658', '7147944038', '8666700466']",14
12,"[538.4800957393104, 43.66839953094289]",231.08845553443726,"['667357352', '667357392', '667357403', '667357405', '667357407', '667357409', '667357412', '2055461156', '3215340464', '4369058864', '5882320075', '6576461331', '6785961623', '6785961658', '7147944038']",15
13,"[-251.52056611807117, -966.0105123643671]",198.16055312081218,"['668699188', '668699193', '668699242']",3
14,"[-116.60875979982377, 616.6894459185709]",250.5062054076881,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259297', '4348259298', '6571330021', '6573701501', '6573701505', '7265473766']",11
15,"[-666.0630933079464, 222.63542855108645]",201.82252460183344,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",9
16,"[743.1568901745667, -323.55802167188585]",219.4284625898496,"['667357383', '667357387', '668685380', '5879215623', '5879215625', '5879215634', '8675266535']",7
17,"[522.4264581486004, -800.3452907503262]",207.76037280519773,"['667357309', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650']",9
18,"[649.8815474401022, 465.8029261077367]",242.5876428960856,"['667357412', '667357419', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '5882320075', '7265460758', '9169143586']",18
19,"[847.3101251034063, 80.29706440735188]",230.2254365903395,"['667357392', '667357401', '667357403', '667357405', '667357409', '667357415', '667357416']",7
20,"[181.72854696837683, -891.9259334777234]",203.4228377491959,"['668660548', '668699237', '6435688923', '6435688924', '6627410440', '6627410442']",6
21,"[-341.51553527646263, 325.49127110828056]",250.1734208982408,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766']",17
22,"[-645.1211852378979, 419.7732124676111]",208.01206026687726,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875156']",8
23,"[-306.5954693054197, -820.0784027787154]",193.53779650729496,"['668699188', '668699193', '668699199']",3
