,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[-236.69348915936166, -782.3122345698175]",387.857264150561,"['268790010', '268790016', '268790019', '275675438', '275675439', '275675440', '275675441', '275676971', '275676975', '330648051', '330648058', '330653166', '330653179', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653353', '330653884', '330653893', '330653923', '330653928', '330653958', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330654000', '330654010', '330654012', '330780144', '330780155', '330780161', '330780167', '330780202', '330780203', '330783601', '330783605', '670703094', '670703101', '670703151', '670703205', '670703217', '670703264', '672642687', '672642688', '672642689', '2164168482', '2166694704', '2166694709', '2166694714', '2166694715', '2167078771', '2167078772', '6590511582', '7025461280']",61
1,1,"[713.7087026990484, -842.2719308740925]",438.8489209296275,"['275676979', '275676982', '330653384', '330653399', '330654083', '330654107', '330654114', '330654123', '330654130', '330654139', '330780592', '330780864', '330780866', '330798589', '330798628', '330798629', '330798631', '330798633', '330798634', '330798635', '330798636', '2158634730', '2166703022', '2168356812', '2293922421', '4690195811', '4690195816', '10038642609', '10038642610', '10038642616']",30
2,2,"[430.4659466326329, -171.00517611723026]",458.37632005447847,"['268789868', '268789869', '268789870', '268789874', '268789875', '268789926', '268789939', '268789940', '268789969', '268789971', '268789973', '268789976', '268789979', '268789985', '268789987', '268789988', '268789990', '268789999', '268790000', '330576261', '330576280', '330576289', '330576364', '330576488', '330576496', '330593476', '330593480', '330593497', '330593501', '330593509', '330593514', '330593520', '330593523', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593646', '330593651', '330593656', '330593661', '330593666', '330593675', '330593688', '330593697', '330593701', '330593710', '330593716', '330612021', '330612026', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330653296', '330653324', '330653426', '330774715', '330774716', '330779489', '330779492', '2166694720', '2166694752', '2293922421', '3371735080', '3405091168']",76
3,3,"[-162.5320374925559, -282.82813176392483]",442.5428822689212,"['268789969', '268789971', '268789973', '268789976', '268789979', '268789988', '268789990', '268789999', '268790000', '268790010', '268790016', '268790019', '268790030', '268790035', '275675438', '275675439', '304913244', '304913245', '304913248', '304914007', '304914011', '330576364', '330593605', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330612298', '330612299', '330648003', '330648024', '330648058', '330648065', '330648108', '330648111', '330648114', '330648117', '330653141', '330653166', '330653179', '330653184', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653296', '330653303', '330653324', '330653353', '330653884', '330653893', '330653928', '330653958', '330653976', '330774715', '330774716', '330780161', '330780167', '330780202', '330780203', '670703094', '670703101', '670703151', '670703205', '670703217', '672642687', '672642688', '672642689', '2164168482', '2166694715', '2166694728', '2166694752', '3371735080', '3405118745']",84
4,4,"[678.3125549839442, 343.2289174690264]",455.6322959580661,"['268789861', '268789868', '268789869', '268789870', '268789880', '268789881', '268789882', '268789920', '268789926', '268789939', '268789940', '268789944', '268789950', '268789954', '268789961', '268789963', '330576035', '330576044', '330576053', '330576059', '330576066', '330576156', '330576253', '330576261', '330576280', '330576289', '330576404', '330576439', '330576446', '330576488', '330576496', '330576503', '330576530', '330576539', '330576568', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582189', '330582193', '330582202', '330593389', '330593397', '330593428', '330593447', '330593456', '330593460', '330593466', '330593476', '330593480', '330593497', '330593501', '330593509', '330593514', '330593520', '330593523', '330593646', '330593656', '330593661', '330593666', '330593675', '330593688', '330593697', '2164208476', '2164208484', '3248842465', '3248842469', '3248842472', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479', '3371735060', '3371735062', '3371735063', '3371735085', '3371735087', '3405055667', '3405055668', '6773818263', '6773818264']",87
5,5,"[267.56070202734253, -958.7499035450061]",425.27870175660155,"['275675438', '275675439', '275675440', '275675441', '275676975', '275676976', '275676977', '275676979', '275676982', '330653262', '330653303', '330653384', '330653399', '330653986', '330653996', '330653997', '330654000', '330654003', '330654005', '330654009', '330654010', '330654012', '330654038', '330654075', '330654081', '330654083', '330654107', '330654114', '330654123', '330654139', '330654144', '330654147', '330654149', '330654150', '330780144', '330780155', '330780161', '330780167', '330780202', '330780592', '330798589', '330798628', '330798629', '330798633', '330798634', '330798635', '330798636', '2164168453', '2164168463', '2166694704', '2166694709', '2166694720', '2166694724', '2166694728', '2166703022', '2167078769', '2167078770', '2167078771', '2167078772', '2167078773', '2167078774', '2168356812', '2293922421', '4690195811', '4690195816', '6590511582', '7024847607', '7025461280', '10038642610', '10038642616']",70
6,6,"[951.023561386799, 903.4416097807698]",437.6147574528595,"['268789836', '268789860', '268789861', '268789877', '268789879', '268789942', '268789944', '268789959', '268790945', '330576156', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576671', '330576678', '330576694', '330576715', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582193', '3248845375', '3263038277', '3371735058', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667']",42
7,7,"[-812.6859590320565, -560.2551344131426]",453.45801132256395,"['275676971', '330648038', '330648048', '330648051', '330648061', '330648065', '330648075', '330648098', '330648108', '330648111', '330648114', '330648117', '330648694', '330648697', '330653958', '330780901', '330783601', '330783605', '330798362', '330798365', '2018053792', '5391143596', '5391143604']",23
