,location,Radius,covered_nodes,Total_nodes_covered
0,"[228.5391561376586, -865.1095727719916]",207.85764613592917,"['667357309', '667357310', '668660548', '668699237', '6435688923', '6435688924', '6627410440', '6627410442']",8
1,"[-652.9577966339384, 223.9561907132986]",214.52736459165496,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",9
2,"[-293.76429720402916, -828.6790127776118]",206.38470616690756,"['668699188', '668699193', '668699199', '668699242']",4
3,"[626.8631300837699, -461.55293269466756]",208.4504649500073,"['667357368', '667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634']",10
4,"[-176.07361545407554, 460.83851412283394]",214.52184617505856,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",12
5,"[-1.8229713633701259, -175.1693565720243]",210.86840854264972,"['667357326', '6583550560']",2
6,"[845.3527428109142, -238.24918704108475]",209.8943328586195,"['667357383', '667357401', '668685380', '8675266535']",4
7,"[667.7224781326624, 67.66517063948169]",215.21282461080662,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '4369058864', '6576461331', '6785961623']",12
8,"[557.4693655636073, -781.461552749233]",206.9378898208445,"['667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650']",8
9,"[708.2138476736928, 369.48812971407676]",221.33849318420644,"['667357409', '667357412', '667357415', '667357416', '667357419', '4348259327', '4348259328', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '5882320075', '7265460758', '9169143586']",17
10,"[70.66821563143631, 529.0844789950861]",225.27874831804215,"['667357359', '667357361', '4348259298', '4348265101', '4348265105', '4348265107', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505']",14
11,"[238.76007955130433, -44.970624735572784]",216.664988185219,"['667357326', '667357352', '668672700', '2055461156', '3215340463', '3215340464', '5077600694', '6568909595', '6573854574', '6583550562', '6785961658', '7147944038']",12
12,"[590.125803751597, 652.6478778470924]",227.31309004688057,"['1990860599', '1990860600', '4348259325', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '6786321691', '7265460758', '9169143586']",11
13,"[305.83645631704076, 837.0713178031558]",226.71800700584242,"['668612391', '4348265098', '6786321691', '9169143592']",4
14,"[356.1223834328987, -499.16715103424343]",208.88326486939383,"['667357311', '667357317', '667357318', '667357325', '667357368', '667357382', '668699249', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '8666700466']",14
15,"[-225.97794343508892, -984.0586782912203]",207.54293534992894,"['668699188', '668699193', '668699242']",3
16,"[477.1190331313994, -110.87633754765578]",213.37316272818057,"['667357352', '667357407', '3215340463', '3215340464', '5077600694', '6568909594', '6568909595', '6576461331', '6785961623', '6785961658', '7147944038', '8675266535']",12
17,"[-370.9040165031505, 360.000020965164]",218.70154078907865,"['668478124', '4348259294', '4348259295', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766']",11
18,"[-53.217270451674295, 107.57458112628545]",222.44073343668623,"['245674992', '668672574', '4348259295', '6583550560', '6583550562']",5
19,"[340.7717015525561, 291.534593651044]",221.92436422473574,"['667357367', '668620092', '668672704', '2055461156', '4348259327', '4348259328', '4348259329', '4348259330', '4369058864', '5366445082', '5366445083', '5366445085', '5584937649', '5584937650', '5882320075', '6573701524', '7147944044', '7147944046']",18
20,"[243.37263815429833, -446.0690986150369]",210.2276369797316,"['667357317', '667357318', '667357325', '667357368', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",14
21,"[-172.67160962763325, 197.58732428761397]",220.63330363848567,"['245674992', '668478124', '668672574', '668672699', '4348259294', '4348259295', '6571330022', '6571330023']",8
22,"[601.0554589096969, 898.87025693841]",224.95931632475265,"['6786321690', '6786321691']",2
23,"[223.99392291546425, 443.12327084818355]",225.1576810836127,"['667357367', '667357421', '668612331', '668672704', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701524']",20
24,"[64.98054113009903, -795.9771241427997]",208.9548164469297,"['668699237', '668699242', '6435688923', '6435688924', '6627410440', '6627410442']",6
