,location,Radius,covered_nodes,Total_nodes_covered
<<<<<<< HEAD
0,"[285.47844946095387, -821.7625352072101]",302.03629716646344,"['667357309', '667357310', '667357311', '668660548', '668660552', '668699237', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442']",17
1,"[635.265285443767, -467.5073433129907]",386.5421862331703,"['667357311', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '668699249', '3215340464', '5366445105', '5879215623', '5879215625', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6568909594', '6576461331', '8666700466', '8675266535']",29
2,"[-189.10759427394365, -883.3963498958765]",280.8962928062777,"['668699188', '668699193', '668699199', '668699242']",4
3,"[50.44028856987188, 77.94075453354507]",428.1442297605812,"['245674992', '667357326', '667357352', '667357367', '668478124', '668620092', '668672574', '668672699', '668672700', '668672704', '2055461156', '3215340463', '4348259294', '4348259295', '4642960968', '5077600694', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6568909593', '6568909595', '6571330023', '6573854574', '6583550560', '6583550562', '6785961658', '7147944038', '7147944044', '7147944046']",34
4,"[663.5735226752004, 252.72878443915397]",450.57405154064793,"['667357352', '667357367', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '667357419', '668620092', '668672704', '1990860599', '1990860600', '2055461156', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5366445082', '5366445083', '5882320075', '6573701524', '6576461331', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046', '7265460758', '9169143586']",42
5,"[325.93047309527077, 676.5774906998976]",480.57221779371946,"['667357359', '667357367', '667357419', '667357421', '668612331', '668612391', '668672704', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259341', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '5882320075', '6573701501', '6573701505', '6573701524', '6786321690', '6786321691', '7265460758', '9169143586', '9169143592']",42
6,"[335.1228531875697, -504.21638544042315]",362.09768668202366,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357326', '667357368', '667357382', '667357385', '667357387', '668660548', '668660552', '668660560', '668685375', '668699249', '3215340463', '5366445105', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '6627410440', '6627410442', '8666700466']",35
7,"[-515.509733807994, 332.7171445405111]",418.19688713277475,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '2081722939', '4348259294', '4348259295', '4348259297', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",24
=======
