,location,Radius,covered_nodes,Total_nodes_covered
0,"[561.3654309132913, -689.3157666144212]",338.41149647321384,"['667357309', '667357310', '667357311', '667357368', '668660548', '668660552', '668660560', '668685375', '668699249', '5879215623', '5879215625', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6627410440']",21
1,"[561.5091828840316, 390.1294917046771]",336.82807694098074,"['667357367', '667357409', '667357412', '667357415', '667357416', '667357419', '667357421', '668612331', '668620092', '668672704', '1990860599', '1990860600', '2055461156', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4348265099', '4369058864', '5366445082', '5882320075', '6573701524', '7147944044', '7147944046', '7265460758', '9169143586']",34
2,"[-112.8470177422208, -875.9403505362097]",347.4870406735401,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924', '6627410442']",8
3,"[523.5803151733708, 788.4806397436187]",324.666080699414,"['667357421', '668612331', '668612391', '1990860599', '1990860600', '4348259325', '4348259332', '4348259333', '4348265098', '4348265099', '6786321690', '6786321691', '9169143592']",13
4,"[773.1326778819322, -140.0694975917597]",337.1005876956609,"['667357383', '667357385', '667357387', '667357392', '667357401', '667357403', '667357405', '667357407', '667357415', '668685380', '5879215623', '5879215625', '6576461331', '6785961623', '8675266535']",15
5,"[35.147358385447575, 22.223892948434226]",344.40003328212316,"['245674992', '667357326', '668672574', '668672700', '3215340463', '4348259295', '4642960968', '5077600694', '5366445083', '5366445092', '5366445093', '6568909595', '6583550560', '6583550562', '7147944038']",15
6,"[326.9912937696747, -172.80855409781745]",330.44479506671024,"['667357317', '667357318', '667357325', '667357326', '667357352', '667357382', '667357385', '668672700', '668699249', '2055461156', '3215340463', '3215340464', '5077600694', '5366445105', '5879215642', '5879215643', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '6576461331', '6785961623', '6785961658', '7147944038', '8666700466', '8675266535']",27
7,"[182.56429703885203, -638.3954064720882]",340.52057965634174,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357368', '668660548', '668660552', '668699237', '668699249', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '8666700466']",26
8,"[-522.4679380884209, 311.6075307562919]",350.6742696885121,"['668478124', '668672574', '2081722939', '4348259294', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",19
9,"[37.02354884203143, 573.7447603134492]",339.38072619167565,"['667357348', '667357359', '667357361', '667357421', '668478124', '668612331', '668612391', '668672699', '668672704', '4348259297', '4348259298', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6571330021', '6573701501', '6573701505', '6573701524']",27
