,location,Radius,covered_nodes,Total_nodes_covered
0,"[493.4743162768339, 26.43861559294856]",160.4669841132053,"['667357352', '667357407', '2055461156', '4369058864', '6785961623', '6785961658']",6
1,"[486.2390235742205, 931.858366061002]",221.53729767516688,"['6786321690', '6786321691', '9169143592']",3
2,"[-236.42317801027963, -886.8275257347285]",242.1450748898736,"['668699188', '668699193', '668699199', '668699242']",4
3,"[88.04122905211929, -824.7182313766741]",209.3646556752842,"['668699237', '668699242', '6435688923', '6435688924', '6627410440', '6627410442']",6
4,"[317.09482320785435, 530.7253987817461]",192.0364891865562,"['667357367', '667357421', '668612331', '668612391', '668672704', '1990860599', '1990860600', '4348259329', '4348259330', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6573701524']",15
5,"[271.2589526772573, -251.48012028858446]",158.47976864331392,"['667357325', '667357326', '3215340463', '6568909593', '6568909594', '6568909595', '6573854574', '8666700466']",8
6,"[162.39313194135778, -404.66099107805593]",167.18007737588042,"['667357317', '667357318', '6568909609', '8666700466']",4
7,"[605.3678109304924, -640.0055004078376]",156.21432249967438,"['668660560', '5879215641']",2
8,"[416.10253847361867, -174.98451838593311]",144.5084600330957,"['3215340463', '3215340464', '6568909594', '6568909595']",4
9,"[38.62483552210105, 364.17323956190285]",197.6723295890351,"['668672699', '4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650']",9
10,"[223.94228534692544, 7.9853304158107825]",165.9427087065049,"['668672700', '5077600694', '6568909595', '7147944038']",4
11,"[761.7704229276576, -50.02164145322441]",172.50765631495426,"['667357392', '667357401', '667357403', '667357405', '667357407', '6576461331']",6
12,"[724.5104308084013, -454.0972901786305]",160.85097949804853,"['667357383', '667357387', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634']",8
13,"[730.6582960299684, 268.13467726187366]",194.27854931697698,"['667357409', '667357412', '667357415', '667357416', '667357419', '4348259340', '4348259341']",7
14,"[715.2639811020133, -263.3965489440092]",167.64009466605592,"['667357383', '667357387', '668685380', '8675266535']",4
15,"[-9.540505246394332, 102.11791256531899]",201.42409915649594,"['245674992', '668672700', '6583550560', '6583550562']",4
16,"[346.72098404703235, 210.83443270538046]",192.83610885111347,"['667357367', '668620092', '668672704', '2055461156', '4369058864', '5366445082', '5366445083', '5882320075', '7147944038', '7147944044', '7147944046']",11
17,"[175.104579647673, -685.5027638230858]",165.62360610118694,"['667357309', '667357310', '668699237', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442']",8
18,"[-659.9757373181712, 285.31916070128926]",217.1931933818326,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",9
19,"[338.6213184889706, 762.9216503505965]",206.22193069494415,"['667357421', '668612391', '4348265098', '6786321691', '9169143592']",5
20,"[-235.82300533366129, 194.21358026109073]",216.36371127960982,"['245674992', '668478124', '668672574', '668672699', '4348259294', '4348259295', '5280437313', '5280437314', '6571330022', '6571330023']",10
21,"[0.9267999782404783, -122.43937771290823]",199.01834775157133,"['667357326', '6583550560']",2
22,"[-326.1341233313775, 446.33575608231774]",225.2588172727168,"['667357348', '667357361', '668478124', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766']",15
23,"[613.2019245005523, -39.27578677310345]",163.615368453552,"['667357392', '667357401', '667357403', '667357405', '667357407', '6576461331', '6785961623']",7
24,"[623.2808118807545, 422.52992089705367]",202.28151399983378,"['667357412', '667357419', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '5882320075', '7265460758', '9169143586']",16
25,"[43.79540016401287, 605.4435711092849]",200.30344352043218,"['667357359', '4348259298', '4348265105', '4348265107', '5366445091', '6573701501', '6573701505']",7
26,"[394.3828588046344, -535.151578133535]",155.7167016525016,"['667357317', '667357368', '668699249', '5879215642', '5879215643', '6495983054']",6
27,"[697.3798093048753, 695.9981616091976]",220.83407698132444,"['4348259325', '6786321690', '6786321691']",3
28,"[438.5069942031987, -821.5462456778623]",177.76534790104128,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650']",10
29,"[524.5105999664117, -364.29918187530484]",149.95920746838917,"['667357382', '667357385', '667357387', '668685375', '5366445105']",5
