,location,Radius,covered_nodes,Total_nodes_covered
0,"[291.1926891828149, 438.0397761571257]",248.25427969037204,"['667357367', '667357421', '668612331', '668672704', '1990860599', '1990860600', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '4642960968', '5366445082', '5366445085', '5366445091', '5584937649', '5584937650', '6573701524']",23
1,"[619.049765054365, 739.3250209780576]",248.65737127291976,"['1990860600', '4348259325', '4348259333', '6786321690', '6786321691']",5
2,"[-640.8947056413467, 297.0217257657112]",242.60168543066112,"['2081722939', '4348259319', '4348259324', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",10
3,"[384.7069766637469, 189.0344175373859]",250.2312642955242,"['667357352', '667357367', '667357412', '668620092', '668672704', '2055461156', '4348259327', '4348259328', '4369058864', '5077600694', '5366445082', '5366445083', '5882320075', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046']",18
4,"[84.37555451338451, -136.5912303258902]",245.43689996428807,"['667357326', '668672700', '3215340463', '5077600694', '6568909593', '6568909595', '6573854574', '6583550560', '6583550562']",9
5,"[-148.05104626446803, -880.4190594466708]",318.6374457064014,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924']",7
6,"[697.2199211209081, 348.3800181518309]",247.5170084284009,"['667357409', '667357412', '667357415', '667357416', '667357419', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '5882320075', '7265460758', '9169143586']",18
7,"[693.7426826635492, -486.074219444301]",255.8466037026676,"['667357368', '667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634']",10
8,"[437.84283844418076, 905.4529915277911]",258.4542187095572,"['6786321690', '6786321691', '9169143592']",3
9,"[336.60049201159455, -316.6164348113981]",219.83038869502064,"['667357317', '667357318', '667357325', '667357368', '667357382', '667357385', '668699249', '3215340463', '3215340464', '5366445105', '5879215642', '5879215643', '6568909593', '6568909594', '6568909595', '6568909609', '6573854574', '8666700466']",18
10,"[261.8813277908759, -501.82173479084327]",232.68665911525275,"['667357310', '667357317', '667357318', '667357325', '667357368', '668699249', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '8666700466']",13
11,"[172.60210652310604, 516.34427086932]",245.51048486031365,"['667357367', '667357421', '668612331', '668612391', '668672704', '4348259329', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",21
12,"[-96.9189669770684, 137.99670512233507]",256.3323246791664,"['245674992', '668672574', '668672699', '4348259294', '4348259295', '4642960968', '6571330023', '6583550560', '6583550562']",9
13,"[318.5359582676706, -692.8870502398191]",254.34377106305183,"['667357309', '667357310', '667357311', '667357317', '667357368', '668660548', '668660552', '668699237', '668699249', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6627410440', '6627410442']",20
14,"[378.8460343485931, -848.903260007035]",283.0154779259442,"['667357309', '667357310', '667357311', '668660548', '668660552', '668699237', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6435688924', '6495983054', '6627410440', '6627410442']",15
15,"[-282.30578134296485, 362.4790082987106]",265.50501865363475,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766']",19
16,"[45.25582765677245, 607.6110123614781]",257.02933009602214,"['667357348', '667357359', '667357361', '668612391', '4348259297', '4348259298', '4348265098', '4348265101', '4348265105', '4348265107', '5366445091', '5366445092', '5366445093', '6573701501', '6573701505']",15
17,"[413.43324675550593, -121.6044513775442]",230.91255814708106,"['667357352', '2055461156', '3215340463', '3215340464', '5077600694', '6568909593', '6568909594', '6568909595', '6573854574', '6576461331', '6785961623', '6785961658', '7147944038']",13
18,"[767.0339934359558, -94.48191016415075]",249.9913651511576,"['667357392', '667357401', '667357403', '667357405', '667357407', '668685380', '6576461331', '8675266535']",8
