,location,Radius,covered_nodes,Total_nodes_covered
0,"[513.236225451288, 57.9323590873914]",173.04854200467554,"['667357352', '667357405', '667357407', '2055461156', '4369058864', '6785961623', '6785961658']",7
1,"[-442.7534712423432, 200.15243576577248]",160.3217952469966,"['4348259324', '5280437313', '5280437314', '5280438428', '6571330023']",5
2,"[751.2724887946081, -85.92724427445839]",150.85990788951835,"['667357392', '667357401', '6576461331']",3
3,"[663.4477512998859, 652.872317531207]",179.69124757565552,"['4348259325', '4348259333']",2
4,"[188.16210461728193, -408.1884142619134]",175.35307865440868,"['667357317', '667357318', '667357325', '668699249', '5879215643', '6568909593', '6568909609', '8666700466']",8
5,"[593.2717747866201, -250.61964680378927]",171.01200089089164,"['667357383', '667357385', '667357387', '668685380', '8675266535']",5
6,"[451.2647213480214, -542.1108675274472]",181.687032191042,"['667357311', '667357368', '668685375', '668699249', '5879215641', '5879215642', '5879215643', '6495983054']",8
7,"[755.6426642238633, 162.62880350917337]",170.04397393338462,"['667357403', '667357405', '667357409', '667357412', '667357415', '667357416']",6
8,"[99.91748396078854, -110.28885926777045]",165.01762859050837,"['667357326', '668672700', '6583550560']",3
9,"[197.47025906806118, 699.4775346424203]",174.29157824660646,"['668612391', '4348265098', '4348265099', '4348265105', '6573701501', '6573701505']",6
10,"[635.377117373084, 914.1168809523787]",180.32879958438653,"['6786321690', '6786321691']",2
11,"[-198.16918528919882, -821.5689988486573]",193.10064360640388,"['668699188', '668699193', '668699199', '668699242']",4
12,"[67.91885290834023, 131.57079166486358]",164.12936326238054,"['668672700', '4642960968', '6583550560', '6583550562']",4
13,"[262.45549942375214, 368.32863998253794]",171.6378190936821,"['667357367', '668672704', '4348259329', '4348265101', '5366445082', '5366445085', '5584937649', '5584937650', '6573701524']",9
14,"[-275.51572519830677, 484.86891387937874]",159.57702446231394,"['667357348', '667357361', '668478124', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",8
15,"[-484.90469442223286, 377.7003395212826]",161.3999305664633,"['4348259319', '4348259324', '5280437313', '5280437314', '5280438428']",5
16,"[-180.3490337897515, 274.7303992870165]",160.7179759364872,"['245674992', '668478124', '668672574', '668672699', '4348259294', '4348259295', '6571330022', '6571330023']",8
17,"[-51.5505574706086, 563.7108970801238]",163.9534065696145,"['667357348', '667357359', '667357361', '4348259297', '4348259298', '6573701505']",6
18,"[-339.9221949288785, -829.2023067999717]",197.02929966193003,"['668699188', '668699193', '668699199']",3
19,"[287.5519732508272, 49.535524103909665]",169.69426640810255,"['667357352', '668620092', '668672700', '2055461156', '5077600694', '5366445083', '6568909595', '6785961658', '7147944038', '7147944044', '7147944046']",11
21,"[464.14246815695907, 330.44351879187576]",175.14782860732535,"['667357367', '667357419', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259334', '4369058864', '5882320075']",10
22,"[470.83260792977103, -830.1934522180308]",193.1098066229337,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650']",10
23,"[-721.885971953034, 279.1513296150447]",163.34549827005097,"['2081722939', '4348259319', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",7
24,"[814.2193813574564, -303.0854472688994]",149.18201934935848,"['667357383', '668685380']",2
25,"[682.6444264192295, 402.74401604896025]",178.14685172057935,"['667357412', '667357419', '4348259327', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",11
26,"[418.055999068747, 630.7211365534769]",176.84347576630685,"['667357421', '668612331', '1990860599', '1990860600', '4348259325', '4348259329', '4348265098', '4348265099']",8
27,"[76.6203794364646, 406.25472853639354]",166.5609354647184,"['4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650']",8
28,"[162.31850937692485, -716.6462454107669]",188.17407668431898,"['667357309', '667357310', '668699237', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442']",8
29,"[379.31886375478604, -242.61577305563355]",170.49987117400255,"['667357325', '667357382', '3215340463', '3215340464', '5366445105', '6568909593', '6568909594', '6568909595', '6573854574', '8666700466']",10
30,"[-178.10859633383797, 42.024023029753685]",159.0123469794735,"['245674992', '668672574']",2
31,"[391.74769381540375, 892.9730727247081]",179.08267380580534,"['6786321691', '9169143592']",2
32,"[111.80323468364818, -950.1975351968049]",195.49260346078933,"['668699237', '6435688923', '6435688924', '6627410442']",4
33,"[695.2729539472984, -562.0800168100295]",177.32437220454648,"['668660560', '668685375', '5879215623', '5879215625', '5879215634']",5
