,location,Radius,covered_nodes,Total_nodes_covered
0,"[-673.191816968058, 231.49957444318153]",193.41452608653225,"['2081722939', '4348259319', '4348259324', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",9
1,"[484.48680723810753, -354.0141640882998]",181.7054154029981,"['667357325', '667357368', '667357382', '667357385', '667357387', '668685375', '5366445105', '5879215642', '6568909594']",9
2,"[646.762307763971, 441.7959910645302]",177.29609562219508,"['667357419', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",14
3,"[225.88026554949107, 616.5685947008695]",191.3695495566515,"['667357421', '668612331', '668612391', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '6573701501', '6573701505', '6573701524']",11
4,"[521.2862761903385, -2.5924218250969746]",186.48113476800808,"['667357352', '667357405', '667357407', '2055461156', '3215340464', '6576461331', '6785961623', '6785961658']",8
5,"[752.8230658436366, 66.41465587516903]",178.64756017983572,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357415', '667357416']",8
6,"[446.93760495436794, -856.404519775472]",164.6581902280991,"['668660548', '668660552', '5879215644', '5879215645', '5879215646', '5879215650']",6
7,"[79.30455178862636, -808.526745259247]",143.4455764389051,"['668699237', '6435688923', '6435688924']",3
8,"[-20.621109774873414, -259.0459880836774]",183.47727474821957,['667357326'],1
9,"[393.04671086856087, 309.56425892250286]",190.30090547280827,"['667357367', '668620092', '668672704', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4369058864', '5366445082', '5882320075', '7147944044', '7147944046']",13
10,"[129.38476095449474, -595.9812670279612]",158.95396897264212,"['667357318', '6495983054', '6495983060']",3
11,"[-363.9598293959706, -746.1674414938409]",131.57636909763386,"['668699188', '668699199']",2
12,"[736.7055762254588, -203.77241121271499]",183.46666211803105,"['667357383', '667357392', '667357401', '668685380', '6576461331', '8675266535']",6
13,"[-308.4275088571768, 241.56514384235095]",191.62791718399427,"['245674992', '668672574', '4348259294', '4348259295', '5280437313', '5280437314', '6571330022', '6571330023']",8
14,"[55.7417998588875, 620.7027897735351]",171.06316067919872,"['4348265105', '4348265107', '6573701501', '6573701505']",4
16,"[59.99746150628413, 367.2461783190487]",191.66474969361414,"['4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650']",8
17,"[602.7877208933216, 933.8219134249267]",189.00805412206628,"['6786321690', '6786321691']",2
18,"[-348.63802802869, -920.875916863758]",132.6088155181075,"['668699188', '668699193']",2
19,"[232.88599204950057, 118.22731444700278]",180.48432603822866,"['668620092', '668672700', '2055461156', '5077600694', '5366445083', '6583550562', '7147944038', '7147944044', '7147944046']",9
20,"[340.41198178955193, -693.8667452338135]",167.1191200794278,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6627410440', '6627410442']",12
21,"[269.0541232130256, -164.83394626213536]",184.38273446076272,"['667357326', '3215340463', '3215340464', '5077600694', '6568909593', '6568909594', '6568909595', '6573854574']",8
22,"[148.45380798808702, -922.1117216163505]",151.83066956586384,"['668699237', '6435688923', '6435688924', '6627410442']",4
23,"[-193.54291611326747, 482.42991347924806]",187.8241812803972,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",10
24,"[-115.38207950996747, -943.8213419140612]",139.13111343895335,['668699242'],1
25,"[-30.758279086445288, 24.65110357673741]",185.199326633129,"['6583550560', '6583550562']",2
26,"[-441.4590004677816, 412.9056732434731]",186.76724620903673,"['4348259324', '5280437313', '5280437314', '5280438428', '6571330022', '7265473766']",6
28,"[802.6721615651227, -480.4744377045522]",180.861682228696,"['667357383', '668660560', '5879215623', '5879215625', '5879215634']",5
29,"[548.2843152389542, -626.5223313719578]",177.09727433355138,"['667357311', '667357368', '668660560', '668685375', '5879215641', '5879215644']",6
30,"[678.9667221215042, 300.7128318312432]",185.3807364393715,"['667357409', '667357412', '667357415', '667357416', '667357419', '4348259334', '4348259335', '4348259340', '4348259341', '5882320075', '7265460758', '9169143586']",12
31,"[234.33054122208608, -471.076379751755]",179.86688696428965,"['667357317', '667357318', '667357325', '668699249', '5879215642', '5879215643', '6495983054', '6495983060', '6568909609', '8666700466']",10
32,"[504.9541642984538, 634.007929889508]",185.85517150653186,"['667357421', '1990860599', '1990860600', '4348259325', '4348259330', '4348259331', '4348259332', '4348259333', '6786321691']",9
33,"[-157.69745849716605, 124.64937732973871]",187.2682582987653,"['245674992', '668672574', '4348259294', '4348259295']",4
34,"[299.3246527698633, 916.2218767376725]",191.03428538528956,['9169143592'],1
