,location,Radius,covered_nodes,Total_nodes_covered
0,"[-650.716489238487, 320.2017454895842]",253.601300532014,"['2081722939', '4348259319', '4348259324', '5280437314', '5280438428', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",10
1,"[757.7048670304382, -12.135283489300221]",214.02467415644645,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357415', '6576461331']",7
2,"[491.49899441130674, -637.5972718738298]",246.81585701319707,"['667357309', '667357310', '667357311', '667357368', '668660548', '668660552', '668660560', '668685375', '668699249', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054']",18
3,"[578.8235475832577, 862.643457591653]",264.60094184600626,"['6786321690', '6786321691', '9169143592']",3
4,"[-192.87576183711644, 526.695903680753]",252.01688295775025,"['667357348', '667357359', '667357361', '668478124', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '6571330021', '6571330022', '7265473766']",12
5,"[415.75035399645566, -168.52903237665797]",233.61611611110973,"['667357325', '667357352', '667357382', '667357385', '3215340463', '3215340464', '5077600694', '5366445105', '6568909593', '6568909594', '6568909595', '6573854574', '6785961623', '6785961658', '7147944038', '8666700466']",16
6,"[-197.2727963146183, -883.9884644118345]",273.84786512502444,"['668699188', '668699193', '668699199', '668699242']",4
7,"[-309.238251455515, 286.9802351288427]",243.51529392250828,"['245674992', '667357348', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766']",16
8,"[352.1531129468414, 378.3778804766722]",201.73726712274384,"['667357367', '668612331', '668620092', '668672704', '1990860599', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348265099', '4348265101', '5366445082', '5584937649', '5584937650', '5882320075', '6573701524', '7147944044', '7147944046']",19
9,"[174.01217003503982, -348.1728489372259]",243.06996640748102,"['667357317', '667357318', '667357325', '667357326', '668699249', '5879215643', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",11
10,"[710.5023849242134, 474.86658950615674]",232.67471119860934,"['667357419', '4348259325', '4348259327', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",12
11,"[472.9442844603794, 594.7238762602528]",204.1692558908198,"['667357421', '668612331', '1990860599', '1990860600', '4348259325', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348265099', '6573701524', '6786321691']",14
12,"[265.63323486178837, 765.9996748711363]",246.9470424571083,"['667357421', '668612331', '668612391', '4348265098', '4348265099', '4348265101', '4348265105', '6573701501', '9169143592']",9
13,"[650.1255134692202, 183.03637934396457]",219.59338625870132,"['667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '667357419', '4348259340', '4369058864', '5882320075', '6785961623']",12
14,"[174.6504523203002, -812.3229211342891]",241.9904008893564,"['667357309', '667357310', '668660548', '668699237', '6435688923', '6435688924', '6495983060', '6627410440', '6627410442']",9
15,"[332.6667663670402, -729.2356658970058]",241.2397920329399,"['667357309', '667357310', '667357311', '668660548', '668660552', '668699237', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6627410440', '6627410442']",17
16,"[-80.57282116875943, -25.56603330156431]",225.21516352229494,"['245674992', '6583550560', '6583550562']",3
17,"[294.2196286528349, 191.116560032196]",197.17784995508887,"['667357367', '668620092', '668672704', '2055461156', '5366445082', '5366445083', '5584937650', '7147944038', '7147944044', '7147944046']",10
18,"[45.916528808593284, 406.6292371796444]",226.47861825255242,"['667357348', '667357359', '667357361', '668672699', '4348259298', '4348265101', '4348265105', '4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701505']",16
19,"[50.93714861785586, 77.74077706827805]",225.49622913632595,"['668672700', '4642960968', '5366445083', '6583550560', '6583550562']",5
20,"[720.9629006806457, -379.32563622725013]",246.14762603307872,"['667357383', '667357385', '667357387', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634', '8675266535']",10
