,location,Radius,covered_nodes,Total_nodes_covered
0,"[-63.37507539246104, 496.6122444012298]",348.1310874348723,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '4348259294', '4348259295', '4348259297', '4348259298', '4348265101', '4348265105', '4348265107', '4642960968', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6571330021', '6571330022', '6573701501', '6573701505', '7265473766']",26
1,"[475.78034654103953, 704.6063031655299]",348.16420264554586,"['667357419', '667357421', '668612331', '668612391', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259341', '4348265098', '4348265099', '4348265101', '6573701524', '6786321690', '6786321691', '7265460758', '9169143586', '9169143592']",26
2,"[95.2125384951391, -48.99260976405557]",345.359286531614,"['667357326', '667357352', '668672700', '2055461156', '3215340463', '3215340464', '4642960968', '5077600694', '5366445083', '6568909593', '6568909594', '6568909595', '6573854574', '6583550560', '6583550562', '6785961658', '7147944038']",17
3,"[263.7339441260949, -660.2725748406249]",337.91902865329143,"['667357309', '667357310', '667357311', '667357317', '667357318', '667357325', '667357368', '668660548', '668660552', '668699237', '668699249', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6568909609', '6627410440', '6627410442', '8666700466']",26
4,"[532.0001862594232, -545.5334209163881]",340.6225060313363,"['667357309', '667357310', '667357311', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '668660548', '668660552', '668660560', '668685375', '668685380', '668699249', '5366445105', '5879215623', '5879215625', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6568909594', '6568909609', '8666700466']",31
5,"[-519.6243383920158, 212.53355724101525]",348.1435855588345,"['245674992', '668672574', '2081722939', '4348259294', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",18
6,"[535.1207926208529, 371.2725735274797]",345.626431558637,"['667357367', '667357405', '667357409', '667357412', '667357415', '667357416', '667357419', '667357421', '668612331', '668620092', '668672704', '1990860599', '1990860600', '2055461156', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4348265099', '4348265101', '4369058864', '5366445082', '5584937649', '5584937650', '5882320075', '6573701524', '6785961623', '7147944044', '7147944046', '7265460758', '9169143586']",39
7,"[-132.82761824377363, -845.1091181875255]",334.7448334206696,"['668699188', '668699193', '668699199', '668699237', '668699242', '6435688923', '6435688924']",7
8,"[699.7782859345637, -104.51078659272926]",343.4931334790197,"['667357352', '667357383', '667357385', '667357387', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357415', '667357416', '668685380', '3215340464', '6576461331', '6785961623', '6785961658', '8675266535']",18
