,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
0,0,"[631.2099369662243, -521.5176981028186]",451.59227614802796,"['667357309', '667357310', '667357311', '667357317', '667357325', '667357368', '667357382', '667357383', '667357385', '667357387', '667357392', '668660548', '668660552', '668660560', '668685375', '668685380', '668699249', '3215340464', '5366445105', '5879215623', '5879215625', '5879215634', '5879215641', '5879215642', '5879215643', '5879215644', '5879215645', '5879215646', '5879215650', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '6576461331', '8666700466', '8675266535']",38
1,1,"[-8.496110529019312, -860.6646101994987]",454.19768035340013,"['667357309', '667357310', '667357311', '667357318', '668660548', '668660552', '668699188', '668699193', '668699199', '668699237', '668699242', '5879215645', '5879215646', '5879215650', '6435688923', '6435688924', '6495983054', '6495983060', '6627410440', '6627410442']",20
2,2,"[88.15008632233992, -14.408101149217998]",449.31775989574237,"['245674992', '667357318', '667357325', '667357326', '667357352', '667357367', '668620092', '668672574', '668672700', '668672704', '2055461156', '3215340463', '3215340464', '4348259294', '4348259295', '4642960968', '5077600694', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6568909593', '6568909594', '6568909595', '6573854574', '6583550560', '6583550562', '6785961623', '6785961658', '7147944038', '7147944044', '7147944046', '8666700466']",37
3,3,"[772.732684119886, 295.32841791911596]",447.78197961400105,"['667357367', '667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '667357419', '668620092', '1990860599', '1990860600', '2055461156', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5882320075', '6576461331', '6785961623', '7147944044', '7147944046', '7265460758', '9169143586']",35
4,4,"[350.8206601518415, 691.5743653873022]",447.78331952383735,"['667357367', '667357419', '667357421', '668612331', '668612391', '668672704', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259341', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445082', '5366445085', '5366445091', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524', '6786321690', '6786321691', '7265460758', '9169143586', '9169143592']",37
5,5,"[-454.7348073970559, 391.53304731331997]",447.4284608648728,"['245674992', '667357348', '667357359', '667357361', '668478124', '668672574', '668672699', '2081722939', '4348259294', '4348259295', '4348259297', '4348259298', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",26
