,location,Radius,covered_nodes,Total_nodes_covered
0,"[107.31035855715163, 277.14677005726844]",274.9715462135477,"['667357367', '668620092', '668672700', '668672704', '4348265107', '4642960968', '5366445082', '5366445083', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6583550562', '7147944044', '7147944046']",17
1,"[710.5023849242134, 474.86658950615674]",249.7239515469519,"['667357412', '667357419', '4348259325', '4348259327', '4348259328', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '7265460758', '9169143586']",15
2,"[373.00319603677434, -833.6950306878994]",221.13162757112414,"['667357309', '667357310', '667357311', '668660548', '668660552', '5879215641', '5879215644', '5879215645', '5879215646', '5879215650', '6627410440', '6627410442']",12
3,"[34.62305381381884, 579.957593542058]",294.7216440793403,"['667357348', '667357359', '667357361', '668478124', '668612331', '668612391', '668672699', '4348259297', '4348259298', '4348265098', '4348265099', '4348265101', '4348265105', '4348265107', '5366445085', '5366445091', '5366445092', '5366445093', '5584937649', '5584937650', '6573701501', '6573701505', '6573701524']",23
4,"[77.13976869964257, -828.6225908518327]",211.48465963322593,"['668699237', '668699242', '6435688923', '6435688924', '6627410440', '6627410442']",6
5,"[694.1041044362937, -540.5651916507632]",252.68785600137733,"['667357383', '667357387', '668660560', '668685375', '668685380', '5879215623', '5879215625', '5879215634', '5879215641']",9
6,"[-241.4943213782558, -887.1952689437422]",238.32453247364407,"['668699188', '668699193', '668699199', '668699242']",4
7,"[648.1424899130361, -210.44034133804962]",260.0497744590077,"['667357382', '667357383', '667357385', '667357387', '667357392', '667357401', '667357407', '668685380', '3215340464', '5366445105', '5879215623', '6576461331', '8675266535']",13
8,"[-517.1724862912902, 327.67273059022415]",345.3155814489868,"['668478124', '668672574', '2081722939', '4348259294', '4348259295', '4348259319', '4348259324', '5280437313', '5280437314', '5280438428', '6571330021', '6571330022', '6571330023', '7265473766', '7265482108', '7265482110', '8699875147', '8699875155', '8699875156']",19
9,"[276.77093971261206, -18.032433425347204]",251.3731653924722,"['667357326', '667357352', '668620092', '668672700', '2055461156', '3215340463', '3215340464', '5077600694', '5366445083', '6568909593', '6568909595', '6573854574', '6583550562', '6785961658', '7147944038', '7147944044', '7147944046']",17
10,"[249.82937874446864, -459.98894200910087]",265.6244373912562,"['667357317', '667357318', '667357325', '667357368', '667357382', '668699249', '5366445105', '5879215642', '5879215643', '6495983054', '6495983060', '6568909593', '6568909594', '6568909609', '6573854574', '8666700466']",16
11,"[659.879186325714, 71.18097778490063]",246.6226253816225,"['667357392', '667357401', '667357403', '667357405', '667357407', '667357409', '667357412', '667357415', '667357416', '4369058864', '5882320075', '6576461331', '6785961623']",13
12,"[339.4469246240602, 766.6137841033936]",247.53845167049687,"['667357421', '668612331', '668612391', '1990860599', '1990860600', '4348265098', '4348265099', '6786321691', '9169143592']",9
13,"[465.68804153843837, 386.91194918651513]",236.75582261568755,"['667357367', '667357412', '667357419', '668612331', '668620092', '668672704', '1990860599', '1990860600', '4348259325', '4348259327', '4348259328', '4348259329', '4348259330', '4348259331', '4348259332', '4348259333', '4348259334', '4348259335', '4348259340', '4348259341', '4369058864', '5366445082', '5882320075', '6573701524', '7147944044', '7147944046', '7265460758']",27
14,"[-78.7193338590718, -27.1707657161117]",304.1853738504871,"['245674992', '667357326', '668672574', '668672700', '6583550560', '6583550562']",6
15,"[585.1904344680728, 871.3597167063]",258.4519418281382,"['6786321690', '6786321691', '9169143592']",3
